City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,new norfolk,-42.7826,147.0587,23.84,44,100,0.97,AU,1731724994
303,gadzhiyevo,69.2551,33.3362,-0.95,91,63,3.06,RU,1731724996
304,paragominas,-2.9667,-47.4833,24.45,68,100,1.58,BR,1731724997
305,tidjikja,18.5564,-11.4271,26.53,19,100,2.45,MR,1731724999
306,ola,59.5833,151.2833,-11.62,74,92,3.1,RU,1731725000
307,nyurba,63.2842,118.3319,-19.52,97,100,0.47,RU,1731725001
308,tindouf,27.6711,-8.1474,23.25,20,75,2.57,DZ,1731725003
309,mount pearl,47.5166,-52.7813,10.74,98,100,7.72,CA,1731725004
310,sirsa,29.5333,75.0167,21.76,37,0,1.26,IN,1731725013
311,igualada,41.581,1.6172,11.33,94,0,1.42,ES,1731725015
312,santiago de cao,-7.9589,-79.2392,18.07,88,13,3.09,PE,1731725016
313,ca mau,9.1769,105.15,30.66,62,74,3.36,VN,1731725017
314,ilhabela,-23.7781,-45.3581,22.1,96,100,0.86,BR,1731725019
315,danielskuil,-28.1887,23.5395,19.6,47,8,6.02,ZA,1731725020
316,at taj,24.2049,23.2857,14.37,48,0,4.05,LY,1731725021
317,mezhdurechenskiy,59.6,65.9333,-2.9,89,100,4.93,RU,1731725022
318,peace river,56.2501,-117.286,-7.83,92,0,1.03,CA,1731725025
319,queenstown,-31.8976,26.8753,16.35,71,0,1.53,ZA,1731725026
320,axim,4.8699,-2.2405,25.16,90,79,0.51,GH,1731725027
321,bovec,46.3375,13.5528,3.66,75,12,1.78,SI,1731725028
322,nsunga,-1.1439,31.3947,17.18,93,100,1.13,TZ,1731725031
323,kabalo,-6.05,26.9167,20.08,97,100,0.98,CD,1731725032
324,deniliquin,-35.5333,144.9667,34.34,16,45,7.04,AU,1731725033
325,dhidhdhoo,6.8833,73.1,28.36,69,100,0.91,MV,1731725035
326,gisborne,-38.6533,178.0042,13.1,88,96,7.37,NZ,1731725036
327,iskateley,67.6803,53.1512,-3.66,96,100,4.05,RU,1731725037
328,venta de banos,41.9371,-4.4645,8.43,87,83,1.9,ES,1731725039
329,gejiu,23.306,103.1635,16.12,50,5,1.7,CN,1731725042
330,burang,30.25,81.1667,-0.19,12,0,3.54,CN,1731725043
331,eydhafushi,5.1033,73.0708,27.93,71,59,1.2,MV,1731725044
332,kasane,-17.8167,25.15,20.75,78,100,2.47,BW,1731725046
333,san patricio,28.017,-97.5169,18.97,69,0,2.86,US,1731725047
334,aasiaat,68.7098,-52.8699,-17.47,83,50,4.64,GL,1731725048
335,harstad,68.799,16.5293,6.2,98,100,13.41,NO,1731725049
336,lodja,-3.4833,23.4333,19.98,98,100,0.96,CD,1731725050
